Jobs_per_ 1Minute,Jobs_per_ 5 Minutes,Jobs_per_ 15Minutes,Mem capacity,Disk_capacity_GB,Num_of_CPU_Cores,CPU_speed_per_Core,Avg_Recieve_Kbps,Avg_Transmit_Kbps,Class_Name
7.0,7.455,7.727,12,128.72872,6,1,31.248,31.248,'Very Low'
3.6,4.8,5.8,12,128.72872,6,1,31.248,31.248,'Very Low'
3.455,4.909,5.818,12,128.72872,6,1,31.248,31.248,'Very Low'
4.455,5.273,5.909,12,128.72872,6,1,31.248,31.248,'Very Low'
3.5,5.1,5.9,12,128.72872,6,1,31.248,31.248,'Very Low'
4.091,5.364,6.182,12,128.72872,6,1,31.248,31.248,'Very Low'
5.1,5.3,6.2,12,128.72872,6,1,31.248,31.248,'Very Low'
4.545,7.636,10.091,12,128.72872,6,1,31.248,31.248,'Very Low'
9.0,9.0,8.091,12,128.72872,6,1,31.248,31.248,'Very Low'
4.1,5.0,5.8,12,128.72872,6,1,31.248,31.248,'Very Low'
3.727,5.273,5.727,12,128.72872,6,1,31.248,31.248,'Very Low'
4.364,5.091,5.818,12,128.72872,6,1,31.248,31.248,'Very Low'
3.0,4.7,5.7,12,128.72872,6,1,31.248,31.248,'Very Low'
4.818,6.455,7.182,12,128.72872,6,1,31.248,31.248,'Very Low'
10.3,13.3,12.6,12,128.72872,6,1,31.248,31.248,'Low'
6.818,9.364,10.455,12,128.72872,6,1,31.248,31.248,'Very Low'
10.364,10.273,10.636,12,128.72872,6,1,31.248,31.248,'Very Low'
10.1,10.5,11.5,12,128.72872,6,1,31.248,31.248,'Very Low'
13.909,13.182,14.182,12,128.72872,6,1,31.248,31.248,'Low'
11.727,12.909,12.818,12,128.72872,6,1,31.248,31.248,'Very Low'
11.1,10.3,10.3,12,128.72872,6,1,31.248,31.248,'Very Low'
6.545,7.545,8.091,12,128.72872,6,1,31.248,31.248,'Very Low'
4.273,5.545,6.0,12,128.72872,6,1,31.248,31.248,'Very Low'
4.9,5.0,5.5,12,128.72872,6,1,31.248,31.248,'Very Low'
4.273,4.909,5.182,12,128.72872,6,1,31.248,31.248,'Very Low'
4.727,5.091,5.636,12,128.72872,6,1,31.248,31.248,'Very Low'
3.3,4.6,5.5,12,128.72872,6,1,31.248,31.248,'Very Low'
4.0,4.818,5.727,12,128.72872,6,1,31.248,31.248,'Very Low'
7.909,9.818,12.0,12,128.72872,6,1,31.248,31.248,'Very Low'
10.2,9.2,8.0,12,128.72872,6,1,31.248,31.248,'Very Low'
4.455,5.364,6.0,12,128.72872,6,1,31.248,31.248,'Very Low'
4.636,5.545,6.0,12,128.72872,6,1,31.248,31.248,'Very Low'
4.818,5.818,6.636,12,128.72872,6,1,31.248,31.248,'Very Low'
6.7,7.7,8.5,12,128.72872,6,1,31.248,31.248,'Very Low'
6.364,7.455,8.0,12,128.72872,6,1,31.248,31.248,'Very Low'
