Timestamp,Pod Name,CPU (cores),Memory (bytes)
2025-03-06 17:27:02,api-85d4895c84-sngh6,1,43
2025-03-06 17:27:02,flask-6578d97cbb-2tn2l,2,48
2025-03-06 17:27:02,loadgenservice-644ff89dcd-x76rd,1,14
2025-03-06 17:27:02,loggingservice-7fd5b6bdfc-b2swm,0,16
2025-03-06 17:27:02,mongo-6cb7d7ff95-mgq74,6,73
2025-03-06 17:27:02,mongo-express-7fbd45cc4d-pshmg,1,48
2025-03-06 17:27:02,php-6d85677874-x2hml,1,24
2025-03-06 17:27:18,api-85d4895c84-sngh6,1,43
2025-03-06 17:27:18,flask-6578d97cbb-2tn2l,2,48
2025-03-06 17:27:18,loadgenservice-644ff89dcd-x76rd,1,14
2025-03-06 17:27:18,loggingservice-7fd5b6bdfc-b2swm,0,16
2025-03-06 17:27:18,mongo-6cb7d7ff95-mgq74,6,73
2025-03-06 17:27:18,mongo-express-7fbd45cc4d-pshmg,1,48
2025-03-06 17:27:18,php-6d85677874-x2hml,1,24
2025-03-06 17:27:33,api-85d4895c84-sngh6,1,43
2025-03-06 17:27:33,flask-6578d97cbb-2tn2l,2,48
2025-03-06 17:27:33,loadgenservice-644ff89dcd-x76rd,1,14
2025-03-06 17:27:33,loggingservice-7fd5b6bdfc-b2swm,0,16
2025-03-06 17:27:33,mongo-6cb7d7ff95-mgq74,6,73
2025-03-06 17:27:33,mongo-express-7fbd45cc4d-pshmg,1,48
2025-03-06 17:27:33,php-6d85677874-x2hml,1,24
2025-03-06 17:27:48,api-85d4895c84-sngh6,6,55
2025-03-06 17:27:48,flask-6578d97cbb-2tn2l,6,52
2025-03-06 17:27:48,loadgenservice-644ff89dcd-x76rd,3,17
2025-03-06 17:27:48,loggingservice-7fd5b6bdfc-b2swm,3,29
2025-03-06 17:27:48,mongo-6cb7d7ff95-mgq74,9,75
2025-03-06 17:27:48,mongo-express-7fbd45cc4d-pshmg,20,65
2025-03-06 17:27:48,php-6d85677874-x2hml,3,42
2025-03-06 17:28:03,api-85d4895c84-sngh6,6,55
2025-03-06 17:28:03,flask-6578d97cbb-2tn2l,6,52
2025-03-06 17:28:03,loadgenservice-644ff89dcd-x76rd,3,17
2025-03-06 17:28:03,loggingservice-7fd5b6bdfc-b2swm,3,29
2025-03-06 17:28:03,mongo-6cb7d7ff95-mgq74,9,75
2025-03-06 17:28:03,mongo-express-7fbd45cc4d-pshmg,20,65
2025-03-06 17:28:03,php-6d85677874-x2hml,3,42
2025-03-06 17:28:18,api-85d4895c84-sngh6,6,55
2025-03-06 17:28:18,flask-6578d97cbb-2tn2l,6,52
2025-03-06 17:28:18,loadgenservice-644ff89dcd-x76rd,3,17
2025-03-06 17:28:18,loggingservice-7fd5b6bdfc-b2swm,3,29
2025-03-06 17:28:18,mongo-6cb7d7ff95-mgq74,9,75
2025-03-06 17:28:18,mongo-express-7fbd45cc4d-pshmg,20,65
2025-03-06 17:28:18,php-6d85677874-x2hml,3,42
2025-03-06 17:28:33,api-85d4895c84-sngh6,6,55
2025-03-06 17:28:33,flask-6578d97cbb-2tn2l,6,52
2025-03-06 17:28:33,loadgenservice-644ff89dcd-x76rd,3,17
2025-03-06 17:28:33,loggingservice-7fd5b6bdfc-b2swm,3,29
2025-03-06 17:28:33,mongo-6cb7d7ff95-mgq74,9,75
2025-03-06 17:28:33,mongo-express-7fbd45cc4d-pshmg,20,65
2025-03-06 17:28:33,php-6d85677874-x2hml,3,42
2025-03-06 17:28:48,api-85d4895c84-sngh6,23,67
2025-03-06 17:28:48,flask-6578d97cbb-2tn2l,23,56
2025-03-06 17:28:48,loadgenservice-644ff89dcd-x76rd,18,19
2025-03-06 17:28:48,loggingservice-7fd5b6bdfc-b2swm,10,36
2025-03-06 17:28:48,mongo-6cb7d7ff95-mgq74,19,76
2025-03-06 17:28:48,mongo-express-7fbd45cc4d-pshmg,75,94
2025-03-06 17:28:48,php-6d85677874-x2hml,11,104
2025-03-06 17:29:03,api-85d4895c84-sngh6,23,67
2025-03-06 17:29:03,flask-6578d97cbb-2tn2l,23,56
2025-03-06 17:29:03,loadgenservice-644ff89dcd-x76rd,18,19
2025-03-06 17:29:03,loggingservice-7fd5b6bdfc-b2swm,10,36
2025-03-06 17:29:03,mongo-6cb7d7ff95-mgq74,19,76
2025-03-06 17:29:03,mongo-express-7fbd45cc4d-pshmg,75,94
2025-03-06 17:29:03,php-6d85677874-x2hml,11,104
2025-03-06 17:29:19,api-85d4895c84-sngh6,23,67
2025-03-06 17:29:19,flask-6578d97cbb-2tn2l,23,56
2025-03-06 17:29:19,loadgenservice-644ff89dcd-x76rd,18,19
2025-03-06 17:29:19,loggingservice-7fd5b6bdfc-b2swm,10,36
2025-03-06 17:29:19,mongo-6cb7d7ff95-mgq74,19,76
2025-03-06 17:29:19,mongo-express-7fbd45cc4d-pshmg,75,94
2025-03-06 17:29:19,php-6d85677874-x2hml,11,104
2025-03-06 17:29:34,api-85d4895c84-sngh6,23,67
2025-03-06 17:29:34,flask-6578d97cbb-2tn2l,23,56
2025-03-06 17:29:34,loadgenservice-644ff89dcd-x76rd,18,19
2025-03-06 17:29:34,loggingservice-7fd5b6bdfc-b2swm,10,36
2025-03-06 17:29:34,mongo-6cb7d7ff95-mgq74,19,76
2025-03-06 17:29:34,mongo-express-7fbd45cc4d-pshmg,75,94
2025-03-06 17:29:34,php-6d85677874-x2hml,11,104
2025-03-06 17:29:49,api-85d4895c84-sngh6,34,70
2025-03-06 17:29:49,flask-6578d97cbb-2tn2l,37,56
2025-03-06 17:29:49,loadgenservice-644ff89dcd-x76rd,27,20
2025-03-06 17:29:49,loggingservice-7fd5b6bdfc-b2swm,15,38
2025-03-06 17:29:49,mongo-6cb7d7ff95-mgq74,29,77
2025-03-06 17:29:49,mongo-express-7fbd45cc4d-pshmg,125,115
2025-03-06 17:29:49,php-6d85677874-x2hml,14,105
2025-03-06 17:30:04,api-85d4895c84-sngh6,34,70
2025-03-06 17:30:04,flask-6578d97cbb-2tn2l,37,56
2025-03-06 17:30:04,loadgenservice-644ff89dcd-x76rd,27,20
2025-03-06 17:30:04,loggingservice-7fd5b6bdfc-b2swm,15,38
2025-03-06 17:30:04,mongo-6cb7d7ff95-mgq74,29,77
2025-03-06 17:30:04,mongo-express-7fbd45cc4d-pshmg,125,115
2025-03-06 17:30:04,php-6d85677874-x2hml,14,105
2025-03-06 17:30:19,api-85d4895c84-sngh6,34,70
2025-03-06 17:30:19,flask-6578d97cbb-2tn2l,37,56
2025-03-06 17:30:19,loadgenservice-644ff89dcd-x76rd,27,20
2025-03-06 17:30:19,loggingservice-7fd5b6bdfc-b2swm,15,38
2025-03-06 17:30:19,mongo-6cb7d7ff95-mgq74,29,77
2025-03-06 17:30:19,mongo-express-7fbd45cc4d-pshmg,125,115
2025-03-06 17:30:19,php-6d85677874-x2hml,14,105
2025-03-06 17:30:34,api-85d4895c84-sngh6,34,70
2025-03-06 17:30:34,flask-6578d97cbb-2tn2l,37,56
2025-03-06 17:30:34,loadgenservice-644ff89dcd-x76rd,27,20
2025-03-06 17:30:34,loggingservice-7fd5b6bdfc-b2swm,15,38
2025-03-06 17:30:34,mongo-6cb7d7ff95-mgq74,29,77
2025-03-06 17:30:34,mongo-express-7fbd45cc4d-pshmg,125,115
2025-03-06 17:30:34,php-6d85677874-x2hml,14,105
2025-03-06 17:30:49,api-85d4895c84-sngh6,35,66
2025-03-06 17:30:49,flask-6578d97cbb-2tn2l,39,56
2025-03-06 17:30:49,loadgenservice-644ff89dcd-x76rd,28,20
2025-03-06 17:30:49,loggingservice-7fd5b6bdfc-b2swm,15,40
2025-03-06 17:30:49,mongo-6cb7d7ff95-mgq74,29,78
2025-03-06 17:30:49,mongo-express-7fbd45cc4d-pshmg,115,117
2025-03-06 17:30:49,php-6d85677874-x2hml,17,112
2025-03-06 17:31:04,api-85d4895c84-sngh6,35,66
